"campaignid","sample","family","genus","species","length","min.length","max.length","fb.length_max","reason","difference","percent.of.fb.max"
"2014-12_Geographe.Bay_stereoBRUVs","176","Labridae","Austrolabrus","maculatus",116.84274,18.825,106.675,125.5,"too big",10.16774,93.1017848605578
"2014-12_Geographe.Bay_stereoBRUVs","176","Labridae","Coris","auricularis",381.57586,60,340,400,"too big",41.57586,95.393965
"2014-12_Geographe.Bay_stereoBRUVs","176","Labridae","Coris","auricularis",344.57344,60,340,400,"too big",4.57344000000001,86.14336
"2014-12_Geographe.Bay_stereoBRUVs","12RC9","Pempherididae","Pempheris","klunzingeri",289.27532,27,153,180,"too big",136.27532,160.708511111111
"2014-12_Geographe.Bay_stereoBRUVs","12RC9","Labridae","Pseudolabrus","biserialis",171.78278,25.8,146.2,172,"too big",25.58278,99.8737093023256
"2014-12_Geographe.Bay_stereoBRUVs","12RC9","Kyphosidae","Girella","zebra",433.31254,51,289,340,"too big",144.31254,127.444864705882
"2014-12_Geographe.Bay_stereoBRUVs","12RC9","Kyphosidae","Girella","zebra",397.65447,51,289,340,"too big",108.65447,116.957197058824
"2014-12_Geographe.Bay_stereoBRUVs","314","Labridae","Austrolabrus","maculatus",138.5847,18.825,106.675,125.5,"too big",31.9097,110.426055776892
"2014-12_Geographe.Bay_stereoBRUVs","314","Labridae","Coris","auricularis",382.7166,60,340,400,"too big",42.7166,95.67915
"2014-12_Geographe.Bay_stereoBRUVs","314","Labridae","Coris","auricularis",340.34158,60,340,400,"too big",0.341580000000022,85.085395
"2014-12_Geographe.Bay_stereoBRUVs","314","Labridae","Coris","auricularis",394.6416,60,340,400,"too big",54.6416,98.6604
"2014-12_Geographe.Bay_stereoBRUVs","314","Ostraciidae","Aracana","ornata",160.38121,22.5,127.5,150,"too big",32.88121,106.920806666667
"2014-12_Geographe.Bay_stereoBRUVs","183","Carangidae","Trachurus","novaezelandiae",74.35354,75,425,500,"too small",0.646460000000005,14.870708
"2014-12_Geographe.Bay_stereoBRUVs","183","Carangidae","Trachurus","novaezelandiae",59.09181,75,425,500,"too small",15.90819,11.818362
"2014-12_Geographe.Bay_stereoBRUVs","183","Carangidae","Trachurus","novaezelandiae",63.19802,75,425,500,"too small",11.80198,12.639604
"2014-12_Geographe.Bay_stereoBRUVs","183","Carangidae","Trachurus","novaezelandiae",42.05298,75,425,500,"too small",32.94702,8.410596
"2014-12_Geographe.Bay_stereoBRUVs","183","Carangidae","Trachurus","novaezelandiae",49.9006,75,425,500,"too small",25.0994,9.98012
"2014-12_Geographe.Bay_stereoBRUVs","183","Carangidae","Trachurus","novaezelandiae",45.17532,75,425,500,"too small",29.82468,9.035064
"2014-12_Geographe.Bay_stereoBRUVs","183","Carangidae","Trachurus","novaezelandiae",73.29672,75,425,500,"too small",1.70328000000001,14.659344
"2014-12_Geographe.Bay_stereoBRUVs","183","Carangidae","Trachurus","novaezelandiae",71.51281,75,425,500,"too small",3.48719,14.302562
"2014-12_Geographe.Bay_stereoBRUVs","183","Carangidae","Trachurus","novaezelandiae",65.79252,75,425,500,"too small",9.20748,13.158504
"2014-12_Geographe.Bay_stereoBRUVs","183","Carangidae","Trachurus","novaezelandiae",53.95885,75,425,500,"too small",21.04115,10.79177
"2014-12_Geographe.Bay_stereoBRUVs","183","Carangidae","Trachurus","novaezelandiae",70.59123,75,425,500,"too small",4.40877,14.118246
"2014-12_Geographe.Bay_stereoBRUVs","183","Carangidae","Trachurus","novaezelandiae",68.60032,75,425,500,"too small",6.39968,13.720064
"2014-12_Geographe.Bay_stereoBRUVs","183","Carangidae","Trachurus","novaezelandiae",67.6635,75,425,500,"too small",7.3365,13.5327
"2014-12_Geographe.Bay_stereoBRUVs","183","Carangidae","Trachurus","novaezelandiae",68.14456,75,425,500,"too small",6.85544,13.628912
"2014-12_Geographe.Bay_stereoBRUVs","GBR2-2","Labridae","Coris","auricularis",417.27705,60,340,400,"too big",77.27705,104.3192625
"2014-12_Geographe.Bay_stereoBRUVs","GBR2-2","Labridae","Pseudolabrus","biserialis",168.47127,25.8,146.2,172,"too big",22.27127,97.9484127906977
"2014-12_Geographe.Bay_stereoBRUVs","GBR2-2","Labridae","Austrolabrus","maculatus",111.34752,18.825,106.675,125.5,"too big",4.67252000000001,88.7231235059761
"2014-12_Geographe.Bay_stereoBRUVs","GBR2-2","Pomacentridae","Parma","victoriae",181.86926,30,170,200,"too big",11.86926,90.93463
"2014-12_Geographe.Bay_stereoBRUVs","720","Labridae","Eupetrichthys","angustipes",153.87301,18.6,105.4,124,"too big",48.47301,124.091137096774
"2014-12_Geographe.Bay_stereoBRUVs","720","Labridae","Eupetrichthys","angustipes",137.46854,18.6,105.4,124,"too big",32.06854,110.861725806452
"2014-12_Geographe.Bay_stereoBRUVs","543","Labridae","Pseudolabrus","biserialis",165.34706,25.8,146.2,172,"too big",19.14706,96.132011627907
"2014-12_Geographe.Bay_stereoBRUVs","543","Labridae","Pseudolabrus","biserialis",191.39934,25.8,146.2,172,"too big",45.19934,111.278686046512
"2014-12_Geographe.Bay_stereoBRUVs","543","Monacanthidae","Meuschenia","galii",312.80924,51,289,340,"too big",23.80924,92.0027176470588
"2014-12_Geographe.Bay_stereoBRUVs","543","Monacanthidae","Meuschenia","australis",287.90523,45,255,300,"too big",32.90523,95.96841
"2014-12_Geographe.Bay_stereoBRUVs","543","Labridae","Coris","auricularis",359.58065,60,340,400,"too big",19.58065,89.8951625
"2014-12_Geographe.Bay_stereoBRUVs","21","Aracanidae","Anoplocapros","amygdaloides",281.52662,45,255,300,"too big",26.52662,93.8422066666667
"2014-12_Geographe.Bay_stereoBRUVs","91","Rhinobatidae","Aptychotrema","vincentiana",825.39383,118.5,671.5,790,"too big",153.89383,104.48023164557
"2014-12_Geographe.Bay_stereoBRUVs","91","Aracanidae","Anoplocapros","amygdaloides",259.30097,45,255,300,"too big",4.30097000000001,86.4336566666667
