"","x","sample","uwa.con.number","date","time","site","location","status","depth","maxn.analyst","maxn.complete.yyyymmdd","maxn.checker","curtin.observer","curtin.length.analyst","observer","successful.count","successful.length","left.cam","right.cam","video.notes","con.hdd.number","raw.hdd.number","habitat.image.saved","vis.in.metres","habitat.classification","length.analyst","length.complete.date.yyyymmdd","notes","latitude","longitude"
"194","2014-12_Geographe.Bay_stereoBRUVs","544","3","2014-12-14","13:36:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","12.3","","","","Lauren","Damo","","","",13,14,"","5",NA,NA,NA,NA,NA,NA,"LANDED SIDE STILL GOOD",-33.4464167,115.43405
"195","2014-12_Geographe.Bay_stereoBRUVs","554","3","2014-12-17","06:13:00",NA,"Geographe Bay","National Park Zone","12.3","Logan ","25.08.20","Brooke Gibbons - one to ask brooke chasing rubescens","Laura","Damo","Logan ","Yes","",15,16,"","5",NA,NA,NA,NA,NA,NA,"",-33.55765,115.3835167
"196","2014-12_Geographe.Bay_stereoBRUVs","551","","2014-12-17","05:58:00",NA,"Geographe Bay","","11.7","","","","Lizzy","N/A","","","N",13,14,"","4",NA,NA,NA,NA,NA,NA,"RIGHT CAM FAIL",-33.5735167,115.3901333
"197","2014-12_Geographe.Bay_stereoBRUVs","567","3","2014-12-17","08:23:00",NA,"Geographe Bay","Multiple Use Zone","17.4","","","","Lizzy","Damo","","","",11,12,"","5",NA,NA,NA,NA,NA,NA,"Left can short analyse right",-33.5866833,115.2760167
"198","2014-12_Geographe.Bay_stereoBRUVs","560","1","2014-12-16","06:49:00",NA,"Geographe Bay","","14.6","","","","Lauren","Lizzy","","","",13,14,"","2",NA,NA,NA,NA,NA,NA,"",-33.4381667,115.5268667
"199","2014-12_Geographe.Bay_stereoBRUVs","570","","2014-12-15","08:31:00",NA,"Geographe Bay","Multiple Use Zone","24.6","","","","Lauren","Lizzy","","","",23,24,"","BH",NA,NA,NA,NA,NA,NA,"",-33.5731333,115.1625333
"200","2014-12_Geographe.Bay_stereoBRUVs","579","3","2014-12-16","13:10:00",NA,"Geographe Bay","Multiple Use Zone","22","","","","Laura","Damo","","","",17,18,"","5",NA,NA,NA,NA,NA,NA,"",-33.5017167,115.37405
"201","2014-12_Geographe.Bay_stereoBRUVs","572","","2014-12-14","10:54:00",NA,"Geographe Bay","","8.1","","","","Lauren","Lizzy","","","",21,22,"","BH",NA,NA,NA,NA,NA,NA,"",-33.3913,115.5492167
"202","2014-12_Geographe.Bay_stereoBRUVs","583","2","2014-12-14","13:55:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","12","Logan","23.07.20","Brooke Gibbons","Damon","Laura","Logan","Yes","",5,6,"","3",NA,NA,NA,NA,NA,NA,"BIG RAY NICE GROUND - R cam failed after 15min",-33.47835,115.3932
"203","2014-12_Geographe.Bay_stereoBRUVs","599","2","2014-12-13","06:22:00",NA,"Geographe Bay","Multiple Use Zone","13.9","Logan","7.8.20","Brooke Gibbons","Laura","Lauren","Logan","Yes","",11,12,"","4",NA,NA,NA,NA,NA,NA,"",-33.5021167,115.4508
"204","2014-12_Geographe.Bay_stereoBRUVs","586","","2014-12-16","13:24:00",NA,"Geographe Bay","National Park Zone","15.8","","","","Lizzy","N/A","","","No",19,20,"Right = Fail","4L",NA,NA,NA,NA,NA,NA,"",-33.5309167,115.38595
"205","2014-12_Geographe.Bay_stereoBRUVs","587","3","2014-12-15","11:03:00",NA,"Geographe Bay","","16.6","","","","Lizzy","Damo","","","",11,12,"","5",NA,NA,NA,NA,NA,NA,"",-33.5934667,115.1873833
"206","2014-12_Geographe.Bay_stereoBRUVs","592","3 (right on 2)","2014-12-16","11:15:00",NA,"Geographe Bay","","12.3","","","","Laura","Laura","","","",17,18,"","3R 5L",NA,NA,NA,NA,NA,NA,"",-33.5185,115.4460167
"207","2014-12_Geographe.Bay_stereoBRUVs","608","3","2014-12-16","09:01:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","16.7","","","","Lauren","Damo","","","",9,10,"","5",NA,NA,NA,NA,NA,NA,"",-33.4551833,115.4702833
"208","2014-12_Geographe.Bay_stereoBRUVs","602","","2014-12-15","12:57:00",NA,"Geographe Bay","","11.2","","","","Lauren","Damo","","","",25,26,"","BH",NA,NA,NA,NA,NA,NA,"",-33.6202,115.25615
"209","2014-12_Geographe.Bay_stereoBRUVs","624","1","2014-12-16","07:03:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","17.5","Hayley ","6.8.20","Logan Penman","Lizzy","Lauren","Hayley ","Yes","",11,12,"","2",NA,NA,NA,NA,NA,NA,"",-33.4209667,115.4918833
"210","2014-12_Geographe.Bay_stereoBRUVs","611","3","2014-12-16","15:45:00",NA,"Geographe Bay","","8.2","","","","Laura","Damo","","","",23,24,"","5",NA,NA,NA,NA,NA,NA,"",-33.5421333,115.4590333
"211","2014-12_Geographe.Bay_stereoBRUVs","615","2","2014-12-17","09:56:00",NA,"Geographe Bay","","11.8","","","","Lauren","Lauren","","","",17,18,"","4",NA,NA,NA,NA,NA,NA,"",-33.5980667,115.3327667
"212","2014-12_Geographe.Bay_stereoBRUVs","618","","2014-12-17","05:40:00",NA,"Geographe Bay","Multiple Use Zone","14.5","","","","Lizzy","N/A","","","No",25,26,"R CAM fail","5",NA,NA,NA,NA,NA,NA,"",-33.5678833,115.3528167
"213","2014-12_Geographe.Bay_stereoBRUVs","623","2","2014-12-15","10:24:00",NA,"Geographe Bay","","7.8","","","","Lizzy","Lauren","","","",21,22,"","4",NA,NA,NA,NA,NA,NA,"",-33.6129333,115.1556167
"214","2014-12_Geographe.Bay_stereoBRUVs","631","","2014-12-15","13:33:00",NA,"Geographe Bay","Multiple Use Zone","21","","","","Lauren","Lizzy","","","",19,20,"","BH",NA,NA,NA,NA,NA,NA,"",-33.5778833,115.2541167
"215","2014-12_Geographe.Bay_stereoBRUVs","633","3","2014-12-16","09:18:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","16.2","Daphne","20201001","Brooke Gibbons","Lauren","Damo","Daphne","","",15,16,"","5",NA,NA,NA,NA,NA,NA,"",-33.4711667,115.4535
"216","2014-12_Geographe.Bay_stereoBRUVs","634","3","2014-12-16","15:30:00",NA,"Geographe Bay","Multiple Use Zone","13","Logan","25.08.20","Brooke Gibbons","Laura","Damo","Logan","Yes","",15,16,"","5",NA,NA,NA,NA,NA,NA,"",-33.5336667,115.4141167
"217","2014-12_Geographe.Bay_stereoBRUVs","635","??????","2014-12-15","08:52:00",NA,"Geographe Bay","Multiple Use Zone","21.2","","","","Lauren","Damo","","","",19,20,"","BH",NA,NA,NA,NA,NA,NA,"",-33.5809667,115.1995667
"218","2014-12_Geographe.Bay_stereoBRUVs","647","2","2014-12-13","08:17:00",NA,"Geographe Bay","Multiple Use Zone","15.3","Logan","30.07.20","Brooke Gibbons","Lauren","Laura","Logan","Yes","",5,6,"","3",NA,NA,NA,NA,NA,NA,"",-33.4926,115.42465
"219","2014-12_Geographe.Bay_stereoBRUVs","640","2","2014-12-16","11:10:00",NA,"Geographe Bay","","11.5","","","","Lizard","Lauren","","","",13,14,"","4",NA,NA,NA,NA,NA,NA,"",-33.5162,115.4646167
"220","2014-12_Geographe.Bay_stereoBRUVs","655","??????","2014-12-15","13:20:00",NA,"Geographe Bay","Multiple Use Zone","20.5","","","","Lauren","Lizzy","","","",17,18,"","BH",NA,NA,NA,NA,NA,NA,"",-33.5812,115.2456833
"221","2014-12_Geographe.Bay_stereoBRUVs","650","??????","2014-12-16","13:14:00",NA,"Geographe Bay","Multiple Use Zone","21.1","","","","Lizzy","N/A","","","No",13,14,"","4",NA,NA,NA,NA,NA,NA,"RIGHT FAIL",-33.5131167,115.3715667
