"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","complexity","sqrt.rug","sqrtLC","sqrtHC","sqrtMacro","SCORE1","SCORE2","ZONE"
"Invertivore.abundance.sqrtHC.by.ZONE+ZONE","sqrtHC.by.ZONE+ZONE",657.29260071403,680.957912373019,0.44343,NA,11.32,0,47.845,50.442,0,0,0,0,0,1,0,0,0,1
"Invertivore.abundance.ZONE","ZONE",663.486506517153,683.851292993732,0.36,NA,8.48,0,54.039,53.335,0,0,0,0,0,0,0,0,0,1
"Invertivore.abundance.null","null",663.511693114701,683.603861417764,0.35548,NA,7.97,0,54.065,53.088,0,0,0,0,0,0,0,0,0,0
"Invertivore.abundance.sqrtLC.by.ZONE+ZONE","sqrtLC.by.ZONE+ZONE",663.779099476621,685.886947230721,0.39699,NA,10.14,0,54.332,55.371,0,0,0,0,1,0,0,0,0,1
"Invertivore.abundance.sqrtLC+ZONE","sqrtLC+ZONE",663.954132245531,685.597285529348,0.38274,NA,9.47,0,54.507,55.081,0,0,0,0,1,0,0,0,0,1
"Invertivore.abundance.sqrtLC","sqrtLC",664.356008856028,686.025376870103,0.37998,NA,9.12,0,54.909,55.509,0,0,0,0,1,0,0,0,0,0
"Invertivore.abundance.SCORE2","SCORE2",665.559007963145,686.921009580555,0.36137,NA,8.99,0,56.112,56.405,0,0,0,0,0,0,0,0,1,0
"Invertivore.abundance.SCORE2+ZONE","SCORE2+ZONE",665.598749543009,687.245640207139,0.36624,NA,9.55,0,56.152,56.73,0,0,0,0,0,0,0,0,1,1
"Invertivore.abundance.SCORE2.by.ZONE+ZONE","SCORE2.by.ZONE+ZONE",668.552949962304,691.261193720242,0.3698,NA,10.51,0,59.106,60.745,0,0,0,0,0,0,0,0,1,1
"Piscivore.abundance.complexity+ZONE","complexity+ZONE",459.008288573755,475.330713961392,0.31583,NA,6.01,0,0,0,0.236,0.315,1,0,0,0,0,0,0,1
"Piscivore.abundance.complexity","complexity",459.09214407831,475.359874036779,0.32032,NA,5.64,0,0.084,0.029,0.226,0.311,1,0,0,0,0,0,0,0
"Piscivore.abundance.SCORE1.by.ZONE+ZONE","SCORE1.by.ZONE+ZONE",459.980855659049,478.400721935919,0.29949,NA,7.86,0,0.973,3.07,0.145,0.068,0,0,0,0,0,1,0,1
"Piscivore.abundance.complexity.by.ZONE+ZONE","complexity.by.ZONE+ZONE",460.172907264555,477.044733457736,0.29912,NA,7,0,1.165,1.714,0.132,0.134,1,0,0,0,0,0,0,1
"Piscivore.abundance.complexity+SCORE2","complexity+SCORE2",461.444082273649,479.791684483213,0.33036,NA,7,0,2.436,4.461,0.07,0.034,1,0,0,0,0,0,1,0
"Piscivore.abundance.SCORE1","SCORE1",461.844067741969,479.477850710339,0.30466,NA,6.44,0,2.836,4.147,0.057,0.04,0,0,0,0,0,1,0,0
"Piscivore.abundance.SCORE1+ZONE","SCORE1+ZONE",461.913925924303,479.75522715969,0.30295,NA,6.84,0,2.906,4.425,0.055,0.035,0,0,0,0,0,1,0,1
"Piscivore.abundance.sqrtMacro+ZONE","sqrtMacro+ZONE",462.276163276823,478.913637366889,0.27231,NA,7.77,1,3.268,3.583,0.046,0.053,0,0,0,0,1,0,0,1
"Piscivore.abundance.SCORE1+SCORE2","SCORE1+SCORE2",464.611411766401,483.63811481545,0.30559,NA,7.46,0,5.603,8.307,0.014,0.005,0,0,0,0,0,1,1,0
"Piscivore.abundance.sqrtMacro.by.ZONE+ZONE","sqrtMacro.by.ZONE+ZONE",466.316249272476,485.65618398103,0.27423,NA,9.52,1,7.308,10.325,0.006,0.002,0,0,0,0,1,0,0,1
