OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
25	1.07	2017 05 10 15:14:20	H:\EM Done\	25.EMObs
GBR2-4	1.07	2017 05 10 15:14:20	F:\	GBR2-4.EMObs
60	1.07	2017 05 10 15:14:20	E:\EM Done\	60.EMObs
391	1.07	2017 05 10 15:14:20	E:\EM Done\	391.EMObs
114	1.07	2017 05 10 15:14:20	E:\GB CONVERT\	114.EMObs
240	1.07	2017 05 10 15:14:20	G:\EM DONE\	240.EMObs
144	1.07	2017 05 10 15:14:20	E:\EM Done\	144.EMObs
208	1.07	2017 05 10 15:14:20	E:\EM Done\	208.EMObs
474	1.07	2017 05 10 15:14:20	H:\EM Done\	474.EMObs
167	1.07	2017 05 10 15:14:20	G:\EM DONE\	167.EMObs
RC1	1.07	2017 05 10 15:14:20	E:\EM Done\	RC1.EMObs
271	1.07	2017 05 10 15:14:20	E:\EM Done\	271.EMObs
234	1.07	2017 05 10 15:14:20	G:\EM DONE\	234.EMObs
764	1.07	2017 05 10 15:14:20	E:\EM Done\	764.EMObs
1038	1.07	2017 05 10 15:14:20	G:\EM DONE\	1038.EMObs
451	1.07	2017 05 10 15:14:20	G:\EM DONE\	451.EMObs
864	1.07	2017 05 10 15:14:20	G:\EM DONE\	864.EMObs
76	1.07	2017 05 10 15:14:20	F:\EM Done\Lengths Done\	76.EMObs
70	1.07	2017 05 10 15:14:20	H:\EM Done\	70.EMObs
810	1.07	2017 05 10 15:14:20	E:\EM Done\	810.EMObs
102	1.07	2017 05 10 15:14:20	E:\EM Done\	102.EMObs
42	1.07	2017 05 10 15:14:20	E:\EM Done\	42.EMObs
67	1.07	2017 05 10 15:14:20	E:\EM Done\	67.EMObs
108	1.07	2017 05 10 15:14:20	W:\EM Done\	108.EMObs
40	1.07	2017 05 10 15:14:20	E:\EM Done\	40.EMObs
587	1.07	2017 05 10 15:14:20	G:\EM DONE\	587.EMObs
116	1.07	2017 05 10 15:14:20	E:\EM Done\	116.EMObs
755	1.07	2017 05 10 15:14:20	G:\Everything Else\GB CONVERT\EM Done\Lengths Done\	755.EMObs
634	1.07	2017 05 10 15:14:20	G:\EM DONE\	634.EMObs
736	1.07	2017 05 10 15:14:20	F:\GB CONVERT\EM Done\	736.EMObs
599	1.07	2017 05 10 15:14:20	E:\EM Done\	599.EMObs
288	1.07	2017 05 10 15:14:20	G:\EM DONE\	288.EMObs
58	1.07	2017 05 10 15:14:20	E:\EM Done\	58.EMObs
623	1.07	2017 05 10 15:14:20	E:\EM Done\	623.EMObs
762	1.07	2017 05 10 15:14:20	E:\	762.EMObs
783	1.07	2017 05 10 15:14:20	E:\EM Done\	783.EMObs
224	1.07	2017 05 10 15:14:20	H:\EM Done\	224.EMObs
463	1.07	2017 05 10 15:14:20	H:\EM Done\	463.EMObs
15	1.07	2017 05 10 15:14:20	E:\EM Done\	15.EMObs
207	1.07	2017 05 10 15:14:20	H:\EM Done\	207.EMObs
784	1.07	2017 05 10 15:14:20	F:\EM DONE\	784.EMObs
12RC3	1.07	2017 05 10 15:14:20	H:\EM Done\	12RC3.EMObs
37	1.07	2017 05 10 15:14:20	E:\EM Done\	37.EMObs
480	1.07	2017 05 10 15:14:20	Z:\	480.EMObs
490	1.07	2017 05 10 15:14:20	E:\EM Done\	490.EMObs
45	1.07	2017 05 10 15:14:20	E:\EM Done\	45.EMObs
655	1.07	2017 05 10 15:14:20	F:\GB CONVERT\EM Done\	655.EMObs
72	1.07	2017 05 10 15:14:20	E:\EM Done\	72.EMObs
416	1.07	2017 05 10 15:14:20	G:\EM DONE\	416.EMObs
679	1.07	2017 05 10 15:14:20	E:\GB CONVERT\EM Done\	679.EMObs
